,continent_name,normalized_compound_value,model_name
0,Africa,-0.20651604258653602,dalle2
1,Antarctica,-0.10797723795726162,dalle2
2,Asia,-0.09083273976129047,dalle2
3,Europe,0.029449294932412724,dalle2
4,North America,-0.11589638896204464,dalle2
5,Oceania,-0.15109011013002432,dalle2
6,South America,-0.05435039323756922,dalle2
0,Africa,-0.12820077121426962,dalle3
1,Antarctica,-0.12126819300861125,dalle3
2,Asia,0.04925918135869948,dalle3
3,Europe,0.04086124660494565,dalle3
4,North America,-0.14968097949640036,dalle3
5,Oceania,0.054900010381193604,dalle3
6,South America,-0.06842689795722565,dalle3
0,Africa,-0.15713171195900177,sd21
1,Antarctica,0.11438216148602787,sd21
2,Asia,-0.003429792440460762,sd21
3,Europe,0.05222117702860267,sd21
4,North America,-0.09129879870705544,sd21
5,Oceania,0.051302097241138434,sd21
6,South America,-0.07826206500340546,sd21
